State,Area,FIPS Code,Units,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
United States,United States,99,Persons per square mile,87.71691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.71691
Alabama,Alabama (state totals),1,Persons per square mile,86.27912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.27912
Alaska,Alaska (state totals),2,Persons per square mile,1.22865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22865
Arizona,Arizona (state totals),4,Persons per square mile,58.5824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.5824
Arkansas,Arkansas (state totals),5,Persons per square mile,54.9956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.9956
California,California (state totals),6,Persons per square mile,231.93161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.93161
Colorado,Colorado (state totals),8,Persons per square mile,53.41472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.41472
Connecticut,Connecticut (state totals),9,Persons per square mile,614.23674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614.23674
Delaware,Delaware (state totals),10,Persons per square mile,447.582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447.582
District of Columbia,District of Columbia (state totals),11,Persons per square mile,5744.64344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5744.64344
Florida,Florida (state totals),12,Persons per square mile,340.19823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.19823
Georgia,Georgia (state totals),13,Persons per square mile,165.78138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.78138
Hawaii,Hawaii (state totals),15,Persons per square mile,187.9558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.9558
Idaho,Idaho (state totals),16,Persons per square mile,21.00954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00954
Illinois,Illinois (state totals),17,Persons per square mile,211.72034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.72034
Indiana,Indiana (state totals),18,Persons per square mile,172.81042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.81042
Iowa,Iowa (state totals),19,Persons per square mile,54.33288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.33288
Kansas,Kansas (state totals),20,Persons per square mile,34.58142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.58142
Kentucky,Kentucky (state totals),21,Persons per square mile,107.24233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.24233
Louisiana,Louisiana (state totals),22,Persons per square mile,101.32059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.32059
Maine,Maine (state totals),23,Persons per square mile,41.71405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.71405
Maryland,Maryland (state totals),24,Persons per square mile,507.28542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507.28542
Massachusetts,Massachusetts (state totals),25,Persons per square mile,714.78048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714.78048
Michigan,Michigan (state totals),26,Persons per square mile,168.02757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.02757
Minnesota,Minnesota (state totals),27,Persons per square mile,66.64554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.64554
Mississippi,Mississippi (state totals),28,Persons per square mile,60.44001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.44001
Missouri,Missouri (state totals),29,Persons per square mile,85.08565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.08565
Montana,Montana (state totals),30,Persons per square mile,7.1208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1208
Nebraska,Nebraska (state totals),31,Persons per square mile,24.85046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.85046
Nevada,Nevada (state totals),32,Persons per square mile,26.76768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.76768
New Hampshire,New Hampshire (state totals),33,Persons per square mile,140.70645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.70645
New Jersey,New Jersey (state totals),34,Persons per square mile,977.76022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,977.76022
New Mexico,New Mexico (state totals),35,Persons per square mile,16.85373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.85373
New York,New York (state totals),36,Persons per square mile,382.38169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.38169
North Carolina,North Carolina (state totals),37,Persons per square mile,193.97686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.97686
North Dakota,North Dakota (state totals),38,Persons per square mile,10.89741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.89741
Ohio,Ohio (state totals),39,Persons per square mile,258.25402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.25402
Oklahoma,Oklahoma (state totals),40,Persons per square mile,53.57731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.57731
Oregon,Oregon (state totals),41,Persons per square mile,42.94674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.94674
Pennsylvania,Pennsylvania (state totals),42,Persons per square mile,266.40981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.40981
Rhode Island,Rhode Island (state totals),44,Persons per square mile,846.536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846.536
South Carolina,South Carolina (state totals),45,Persons per square mile,156.43708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.43708
South Dakota,South Dakota (state totals),46,Persons per square mile,11.50348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.50348
