county,state,2016,2017,2018,rank in State,% change 2017,% change 2018,rank 2018
United States,,49870,51885,54446,--,4,4.9,--
Alabama,Alabama,39224,40467,42238,--,3.2,4.4,--
Autauga,Alabama,39561,40450,41618,10,2.2,2.9,61
Baldwin,Alabama,42907,43989,45596,4,2.5,3.7,55
Barbour,Alabama,31595,33048,35199,41,4.6,6.5,2
Bibb,Alabama,28799,29081,30254,66,1,4,43
Blount,Alabama,32389,33533,34976,43,3.5,4.3,32
Bullock,Alabama,26655,27442,28797,67,3,4.9,10
Butler,Alabama,33501,34733,36450,32,3.7,4.9,9
Calhoun,Alabama,34774,35721,37120,26,2.7,3.9,48
Chambers,Alabama,32470,32583,33859,49,0.3,3.9,49
Cherokee,Alabama,32826,33852,35505,39,3.1,4.9,12
Chilton,Alabama,32204,33416,34798,45,3.8,4.1,40
Choctaw,Alabama,35676,36603,39280,17,2.6,7.3,1
Clarke,Alabama,34436,34777,36361,33,1,4.6,20
Clay,Alabama,31149,32017,33530,50,2.8,4.7,15
Cleburne,Alabama,33708,34862,36159,35,3.4,3.7,53
Coffee,Alabama,40386,41268,43094,6,2.2,4.4,26
Colbert,Alabama,36289,37073,38378,21,2.2,3.5,56
Conecuh,Alabama,30308,31267,32656,57,3.2,4.4,24
Coosa,Alabama,29174,29926,31328,64,2.6,4.7,17
Covington,Alabama,33014,34393,35651,38,4.2,3.7,54
Crenshaw,Alabama,34405,35823,36645,28,4.1,2.3,63
Cullman,Alabama,36649,38158,39607,16,4.1,3.8,51
Dale,Alabama,34492,35200,36613,29,2.1,4,45
Dallas,Alabama,33454,34282,36026,37,2.5,5.1,7
DeKalb,Alabama,29446,30682,31916,62,4.2,4,44
Elmore,Alabama,39587,40966,42269,9,3.5,3.2,59
Escambia,Alabama,30404,31641,32996,55,4.1,4.3,33
Etowah,Alabama,34792,35542,36918,27,2.2,3.9,50
Fayette,Alabama,32533,33492,34966,44,2.9,4.4,27
Franklin,Alabama,30940,32422,34318,47,4.8,5.8,4
Geneva,Alabama,32619,33736,35192,42,3.4,4.3,30
Greene,Alabama,30737,31388,32359,60,2.1,3.1,60
Hale,Alabama,34900,35559,36585,30,1.9,2.9,62
Henry,Alabama,37657,38790,40360,12,3,4,42
Houston,Alabama,39459,40642,42398,8,3,4.3,29
Jackson,Alabama,34198,35099,36567,31,2.6,4.2,37
Jefferson,Alabama,49573,52128,54730,1,5.2,5,8
Lamar,Alabama,31863,32230,33496,51,1.2,3.9,47
Lauderdale,Alabama,35202,35573,37151,25,1.1,4.4,25
Lawrence,Alabama,31129,32596,34125,48,4.7,4.7,16
Lee,Alabama,35690,36437,38036,23,2.1,4.4,28
Limestone,Alabama,39102,40845,42546,7,4.5,4.2,38
Lowndes,Alabama,37050,39011,38991,18,5.3,-0.1,67
Macon,Alabama,30568,31372,32919,56,2.6,4.9,11
Madison,Alabama,48026,49158,51445,3,2.4,4.7,18
Marengo,Alabama,36650,37447,39801,15,2.2,6.3,3
Marion,Alabama,30458,31807,33264,53,4.4,4.6,19
Marshall,Alabama,33700,34579,36044,36,2.6,4.2,35
Mobile,Alabama,36025,36777,38243,22,2.1,4,46
Monroe,Alabama,31259,31720,33456,52,1.5,5.5,5
Montgomery,Alabama,41388,42211,43688,5,2,3.5,57
Morgan,Alabama,37173,38289,39991,14,3,4.4,23
Perry,Alabama,29030,30173,30535,65,3.9,1.2,65
Pickens,Alabama,30412,31233,32551,58,2.7,4.2,36
Pike,Alabama,34842,36140,37359,24,3.7,3.4,58
Randolph,Alabama,30268,31242,32411,59,3.2,3.7,52
Russell,Alabama,30700,32384,33104,54,5.5,2.2,64
St. Clair,Alabama,35766,36993,38569,20,3.4,4.3,34
Shelby,Alabama,50650,51852,54369,2,2.4,4.9,13
Sumter,Alabama,30848,31452,31664,63,2,0.7,66
Talladega,Alabama,32487,33282,34718,46,2.4,4.3,31
Tallapoosa,Alabama,38205,38829,40696,11,1.6,4.8,14
Tuscaloosa,Alabama,36143,37157,38822,19,2.8,4.5,21
Walker,Alabama,37030,38482,40197,13,3.9,4.5,22
Washington,Alabama,34371,34882,36323,34,1.5,4.1,41
Wilcox,Alabama,30247,30929,32215,61,2.3,4.2,39
Winston,Alabama,31995,33679,35430,40,5.3,5.2,6
Alaska,,56016,56794,59420,--,1.4,4.6,--
Aleutians East Borough,Alaska,57255,58210,56676,18,1.7,-2.6,29
Aleutians West Census Area,Alaska,55302,52695,54385,20,-4.7,3.2,25
Anchorage Municipality,Alaska,62172,63173,66510,10,1.6,5.3,12
Bethel Census Area,Alaska,41168,42134,43500,28,2.3,3.2,24
Bristol Bay Borough,Alaska,119915,125895,143575,1,5,14,1
Denali Borough,Alaska,76113,78685,82919,3,3.4,5.4,11
Dillingham Census Area,Alaska,55471,58042,59621,15,4.6,2.7,26
Fairbanks North Star Borough,Alaska,52803,53974,56606,19,2.2,4.9,14
Haines Borough,Alaska,57423,62478,67059,9,8.8,7.3,3
Hoonah-Angoon Census Area,Alaska,54863,59277,61752,14,8,4.2,19
Juneau City and Borough,Alaska,63779,65784,68145,7,3.1,3.6,23
Kenai Peninsula Borough,Alaska,49544,49697,52015,21,0.3,4.7,15
Ketchikan Gateway Borough,Alaska,64229,65179,67602,8,1.5,3.7,22
Kodiak Island Borough,Alaska,57840,61157,63938,12,5.7,4.5,16
Kusilvak Census Area,Alaska,29979,29838,30099,29,-0.5,0.9,27
Lake and Peninsula Borough,Alaska,54510,61219,65414,11,12.3,6.9,4
Matanuska-Susitna Borough,Alaska,44520,44043,45897,26,-1.1,4.2,18
Nome Census Area,Alaska,48001,49518,51378,22,3.2,3.8,21
North Slope Borough,Alaska,89281,84340,83489,2,-5.5,-1,28
Northwest Arctic Borough,Alaska,43886,44861,47854,24,2.2,6.7,5
Petersburg Borough,Alaska,64029,66703,69995,6,4.2,4.9,13
Prince of Wales-Hyder Census Area,Alaska,39834,41456,43707,27,4.1,5.4,10
Sitka City and Borough,Alaska,63572,67771,71972,5,6.6,6.2,6
Skagway Municipality,Alaska,74760,76785,81471,4,2.7,6.1,7
Southeast Fairbanks Census Area,Alaska,46700,47449,49398,23,1.6,4.1,20
Valdez-Cordova Census Area,Alaska,57309,59736,62307,13,4.2,4.3,17
Wrangell City and Borough,Alaska,44956,44963,47658,25,0,6,8
Yakutat City and Borough,Alaska,54406,55783,58937,17,2.5,5.7,9
Yukon-Koyukuk Census Area,Alaska,53871,54874,59010,16,1.9,7.5,2
Apache,Arizona ,31417,33093,34355,10,5.3,3.8,10
Cochise,Arizona ,37621,39165,40308,5,4.1,2.9,14
Coconino,Arizona ,44279,46662,48129,1,5.4,3.1,13
Gila,Arizona ,36286,38524,40267,6,6.2,4.5,3
Graham,Arizona ,29460,30233,31597,13,2.6,4.5,4
Greenlee,Arizona ,33892,36626,39855,7,8.1,8.8,1
La Paz,Arizona ,29596,29750,30948,14,0.5,4,9
Maricopa,Arizona ,43825,45667,47694,2,4.2,4.4,7
Mohave,Arizona ,30286,31742,33148,11,4.8,4.4,8
Navajo,Arizona ,29677,31008,32165,12,4.5,3.7,11
Pima,Arizona ,39904,42133,44028,3,5.6,4.5,5
Pinal,Arizona ,28535,29587,30644,15,3.7,3.6,12
Santa Cruz,Arizona ,34828,37395,39057,8,7.4,4.4,6
Yavapai,Arizona ,36511,38381,40312,4,5.1,5,2
Yuma,Arizona ,33141,35049,35682,9,5.8,1.8,15
Arkansas,Arkansas,40148,41520,43233,--,3.4,4.1,--
Baxter,Arkansas,34516,35617,37106,21,3.2,4.2,26
Benton,Arkansas,82031,84658,88890,1,3.2,5,12
Boone,Arkansas,33439,34263,36089,27,2.5,5.3,6
Bradley,Arkansas,36251,37936,39491,10,4.6,4.1,30
Carroll,Arkansas,31170,33064,33690,48,6.1,1.9,69
Chicot,Arkansas,34429,35538,36293,25,3.2,2.1,68
Clark,Arkansas,33226,34822,36314,24,4.8,4.3,20
Cleveland,Arkansas,36239,38630,40344,7,6.6,4.4,18
Columbia,Arkansas,34418,36856,38749,12,7.1,5.1,8
Conway,Arkansas,35872,36781,38191,15,2.5,3.8,38
